Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2,Transferwaarde,Waarde,AtleetId
Onbekend,Xalari Velissaria,5573036,19,Hellas,Vrouw,1550,Sprinters,20,2,17,168,63,2025-02-26 20:09:19,7,10,3,9,3,3,2,8,5,,0,5573036
Onbekend,Kontomati Danai,5656461,17,Hellas,Vrouw,980,Meerkampers,15,1,15,175,71,2025-02-26 20:09:34,10,3,3,10,3,2,6,5,5,,0,5656461
400 meter,Olszak Ireneusz,5241363,26,Polska,Man,10390,Sprinters,20,8,15,184,81,2025-02-26 20:21:58,17,14,3,14,3,3,2,9,9,,13000,5241363
Onbekend,McFadden Hayden,5635165,16,Great Britain,Man,1680,Springers,19,1,15,165,69,2025-02-26 20:32:57,20,2,1,1,9,8,4,5,8,,9999,5635165
400 meter horden,Angeleva Viktoria,5167299,29,Bulgaria,Vrouw,30350,Sprinters,20,9,17,177,63,2025-02-26 20:37:59,20,2,2,20,11,2,2,11,10,,2000,5167299
Onbekend,Macías Gisela,5582778,18,España,Vrouw,1940,Meerkampers,20,1,12,161,62,2025-02-26 20:44:39,16,6,1,3,10,6,4,9,8,,0,5582778
Onbekend,van Prooijen Jurre,5551879,17,Nederland,Man,4510,Sprinters,20,1,17,172,84,2025-02-26 21:10:13,15,4,0,14,3,2,1,6,8,,0,5551879
Onbekend,Lunevičienė Agnė,5615320,17,Lietuva,Vrouw,2040,Sprinters,18,1,14,183,85,2025-02-26 21:10:26,10,2,2,10,10,3,3,8,6,,1000,5615320
Onbekend,Bos Ankie,5549679,18,Nederland,Vrouw,2150,Middenafstandslopers,20,2,16,174,73,2025-02-26 21:10:46,10,1,10,11,1,0,1,7,6,,1000,5549679
100 meter,Roefs Suzan,5441953,21,Nederland,Vrouw,17580,Sprinters,20,5,15,166,68,2025-02-26 21:13:27,17,13,1,18,2,2,2,7,8,,52000,5441953
800 meter,Neuhaus Benjamin,5225591,27,Deutschland,Man,26740,Middenafstandslopers,20,9,16,190,73,2025-02-26 21:14:57,18,2,15,19,2,1,3,9,9,,25000,5225591
110 meter horden,Ware Evan,5170750,29,United States,Man,24330,Sprinters,20,10,16,176,69,2025-02-26 21:18:38,20,2,3,18,14,0,1,9,10,,1000,5170750
Onbekend,Kemmer Nike,5544138,17,Deutschland,Vrouw,3050,Sprinters,20,3,16,177,82,2025-02-26 21:37:58,18,1,2,12,2,3,3,9,7,,0,5544138
800 meter,Tur Margarida,5407750,23,España,Vrouw,6300,Middenafstandslopers,20,6,15,175,72,2025-02-26 21:39:20,19,9,12,12,2,3,3,8,10,,9999,5407750
Onbekend,Hendry Zak,5590332,20,Great Britain,Man,1120,Sprinters,20,1,14,161,56,2025-02-26 21:40:16,17,5,3,10,3,2,2,4,6,,0,5590332
Onbekend,Fitchie Tia,5590369,21,Great Britain,Vrouw,1840,Springers,20,2,14,180,73,2025-02-26 21:51:22,11,2,0,3,3,10,1,4,10,,0,5590369
Onbekend,Pilger Edith,5631441,17,Deutschland,Vrouw,1750,Springers,17,1,14,182,79,2025-02-26 21:56:16,18,3,1,1,10,5,1,8,6,,0,5631441
Onbekend,Łoś Arkadiusz,5542880,17,Polska,Man,1090,Middenafstandslopers,20,3,17,192,106,2025-02-26 21:56:59,19,9,4,3,1,2,2,4,5,,0,5542880
Onbekend,Reder Adrian,5539657,17,Polska,Man,630,Middenafstandslopers,20,3,14,187,97,2025-02-26 21:57:13,12,3,9,1,3,4,2,6,4,,0,5539657
Onbekend,Guil Aurora,5541935,17,España,Vrouw,750,Zonder specialiteit,20,3,14,171,77,2025-02-26 21:57:36,10,2,1,2,2,10,3,0,0,,0,5541935
Onbekend,Siegl Jäger,5542464,17,Österreich,Man,840,Zonder specialiteit,20,4,13,186,101,2025-02-26 21:57:58,13,10,1,3,2,1,1,0,0,,0,5542464
Vijfkamp Mannen,Kourkourikis Karolos,4987659,33,Hellas,Man,5790,Meerkampers,19,14,16,179,74,2025-02-26 22:13:35,20,6,6,6,5,3,0,8,11,,0,4987659
Onbekend,Ivelja Strahinja,5558077,17,Srbija,Man,6510,Sprinters,20,2,16,172,72,2025-02-26 22:19:07,13,2,2,15,5,6,3,7,5,,0,5558077
400 meter,Bonomi Manuela,4924132,34,Italia,Vrouw,10750,Sprinters,16,13,12,176,67,2025-02-26 22:35:52,14,6,0,15,0,1,0,9,10,,0,4924132
Onbekend,Apostolovska Susanna,5594893,17,FYR Makedonija,Vrouw,1460,Sprinters,20,2,18,165,67,2025-02-26 23:51:52,14,10,2,9,1,2,3,7,7,,0,5594893
Onbekend,Aníbal Lúcio,5627604,17,Portugal,Man,1630,Sprinters,18,1,16,167,69,2025-02-26 23:56:25,14,9,2,10,3,4,0,5,7,,0,5627604
Onbekend,Baía Arsénio,5637771,17,Portugal,Man,460,Sprinters,13,1,17,183,83,2025-02-26 23:56:35,11,5,3,8,1,2,1,6,6,,0,5637771
Onbekend,Pomar Miguel,5562758,17,Portugal,Man,920,Sprinters,16,1,16,179,88,2025-02-26 23:56:47,6,8,3,9,2,3,1,6,7,,0,5562758
Onbekend,Aires Bruno,5662432,17,Portugal,Man,1600,Springers,13,1,14,163,64,2025-02-26 23:57:08,14,0,3,1,3,10,1,9,3,,0,5662432
Onbekend,Sequeira Ofélia,5603765,17,Portugal,Vrouw,1940,Springers,20,1,15,178,74,2025-02-26 23:57:30,12,3,1,4,6,11,0,8,8,,0,5603765
Onbekend,Mota Reinaldo,5659572,17,Portugal,Man,600,Meerkampers,15,1,15,183,84,2025-02-26 23:57:47,6,6,3,1,3,1,1,8,8,,0,5659572
Onbekend,Sobrinho Mónica,5653751,17,Portugal,Vrouw,580,Meerkampers,17,1,15,163,61,2025-02-26 23:57:56,11,2,8,3,1,7,6,6,4,,0,5653751
800 meter,van den Wallen Nancy,5132127,31,Nederland,Vrouw,15960,Middenafstandslopers,20,11,16,166,43,2025-02-27 00:01:01,16,2,15,14,1,8,0,11,12,,0,5132127
3.000 meter steeplechase,Berkenbosch Ingrid,5445696,20,Nederland,Vrouw,21000,Middenafstandslopers,20,6,16,184,91,2025-02-27 00:01:46,19,3,19,4,2,1,2,8,7,,1000,5445696
Onbekend,Bielsa Angela,5599135,17,Argentina,Vrouw,1480,Werpers,12,1,15,183,83,2025-02-27 00:09:48,6,5,2,2,2,4,10,8,8,,0,5599135
Onbekend,Rossi Leon,5606183,17,Argentina,Man,1810,Meerkampers,20,1,12,172,80,2025-02-27 00:11:30,20,8,1,7,3,7,3,8,5,,0,5606183
Onbekend,Charlesworth Imogen,5634192,16,Australia,Vrouw,1750,Springers,16,1,15,168,70,2025-02-27 00:12:56,7,3,2,3,8,11,1,6,8,,1000,5634192
Onbekend,Hearn Joseph,5644162,16,Australia,Man,710,Sprinters,16,1,15,176,72,2025-02-27 00:14:23,14,5,3,8,5,1,3,8,5,,0,5644162
Onbekend,Salkauskas Courtney,5664211,17,Australia,Vrouw,730,Zonder specialiteit,12,1,15,177,71,2025-02-27 00:14:52,14,1,3,9,1,1,2,0,0,,0,5664211
Onbekend,Brooker Kiara,5664212,15,Australia,Vrouw,240,Zonder specialiteit,16,1,15,151,48,2025-02-27 00:15:36,8,6,4,7,2,2,3,0,0,,0,5664212
Onbekend,Tevenet Climén,5512072,18,España,Man,3970,Werpers,20,3,16,182,97,2025-02-27 00:25:36,17,12,2,2,1,1,11,7,7,,1000,5512072
Onbekend,Velasques Vera,5539437,17,Portugal,Vrouw,2460,Sprinters,20,2,15,172,73,2025-02-27 01:52:13,11,12,3,7,1,0,3,5,7,,1000,5539437
Onbekend,Patel Erika,5664238,15,United States,Vrouw,670,Springers,17,1,15,158,53,2025-02-27 03:14:22,15,0,3,3,1,9,1,4,7,,0,5664238
Onbekend,Estévez Juan,5658908,16,Argentina,Man,1230,Sprinters,14,1,15,166,69,2025-02-27 03:17:40,18,6,2,9,3,3,2,7,6,,0,5658908
Onbekend,Jenkins James,5654193,17,United States,Man,1240,Middenafstandslopers,18,1,16,168,67,2025-02-27 03:39:02,13,1,9,8,2,0,3,5,8,,0,5654193
Onbekend,Hendrix Alexandra,5547958,17,United States,Vrouw,2740,Middenafstandslopers,20,1,15,180,82,2025-02-27 03:56:54,14,2,7,10,2,1,2,9,10,,5000,5547958
Onbekend,Compton Breanna,5662866,15,United States,Vrouw,970,Meerkampers,13,1,15,161,61,2025-02-27 04:06:38,19,3,1,2,2,6,5,6,5,,0,5662866
Onbekend,Belabed Jasmina,5592343,17,Al-Maghrib,Vrouw,2230,Springers,20,2,16,158,65,2025-02-27 04:36:01,18,1,0,2,3,11,0,7,8,,0,5592343
Onbekend,Monroe Carter,5664388,15,United States,Man,460,Zonder specialiteit,11,1,15,166,67,2025-02-27 05:24:04,17,2,2,4,2,3,2,0,0,,0,5664388
Onbekend,Rutledge Aaron,5661720,14,United States,Man,50,Zonder specialiteit,16,1,14,168,70,2025-02-27 05:24:10,8,3,2,2,2,2,1,0,0,,0,5661720
Onbekend,Cobb Jordyn,5664387,14,United States,Vrouw,830,Zonder specialiteit,20,1,15,158,54,2025-02-27 05:24:14,10,0,1,2,2,10,0,0,0,,0,5664387
Onbekend,Nathan Alexis,5661721,14,United States,Vrouw,200,Zonder specialiteit,12,1,14,153,49,2025-02-27 05:24:20,13,1,3,3,6,0,1,0,0,,0,5661721
400 meter horden,Gorie Ignatie,5091767,32,România,Man,11820,Sprinters,20,15,13,183,79,2025-02-27 05:26:20,20,1,1,12,9,1,1,11,12,,0,5091767
1.500 meter,Vasilică Georgina,4975329,36,România,Vrouw,12620,Middenafstandslopers,16,17,12,169,50,2025-02-27 05:27:19,17,0,11,10,0,0,0,9,11,,0,4975329
Marathon,Ivan Miruna,5178718,28,România,Vrouw,6240,Langeafstandslopers,20,9,14,161,62,2025-02-27 05:27:46,18,8,13,6,8,3,3,12,7,,0,5178718
20 km snelwandelen,Simioncencu Ada,5094585,30,România,Vrouw,19410,Snelwandelaars,20,16,14,177,48,2025-02-27 05:28:09,15,1,13,1,11,0,0,13,14,,0,5094585
10 km snelwandelen,Nistor Şerban,5122842,29,România,Man,15050,Snelwandelaars,20,11,14,198,103,2025-02-27 05:28:24,15,2,17,1,7,1,3,10,10,,0,5122842
Kogelstoten,Giurgiu Casiana,5094660,30,România,Vrouw,7070,Werpers,20,12,14,165,63,2025-02-27 05:29:18,12,13,0,2,2,1,9,8,11,,0,5094660
Hoogspringen,Dică Anghel,5185194,28,România,Man,10380,Springers,20,10,14,188,83,2025-02-27 05:29:49,17,3,3,2,6,14,3,12,12,,1000,5185194
Discuswerpen,Koster Thea,5411693,22,Nederland,Vrouw,6750,Werpers,20,6,14,186,83,2025-02-27 06:08:44,10,14,2,3,3,3,12,6,6,,1000,5411693
Onbekend,Kuijpers Tjeerd,5664404,14,Nederland,Man,900,Zonder specialiteit,12,1,15,174,72,2025-02-27 06:12:08,8,5,10,2,1,1,1,0,0,,0,5664404
Onbekend,Beukeboom Joanna,5577258,17,Nederland,Vrouw,1320,Snelwandelaars,20,1,14,175,74,2025-02-27 06:13:10,12,2,10,2,9,1,3,7,6,,0,5577258
Onbekend,Chapa Adán,5664417,15,España,Man,990,Zonder specialiteit,18,1,15,162,63,2025-02-27 06:41:18,12,1,8,3,3,10,3,0,0,,0,5664417
Onbekend,Abbott Caitlin,5539086,17,United States,Vrouw,3890,Sprinters,19,2,14,175,81,2025-02-27 06:54:06,11,4,3,14,3,2,1,5,8,,0,5539086
Onbekend,Stadler Samantha,5664429,17,United States,Vrouw,1650,Middenafstandslopers,13,1,14,175,71,2025-02-27 06:55:00,14,2,10,10,2,3,1,6,5,,0,5664429
Onbekend,Malina Ludvík,5643385,17,Česká republika,Man,1220,Snelwandelaars,13,1,15,167,69,2025-02-27 07:08:41,11,3,9,10,7,1,2,5,5,,0,5643385
Onbekend,Ježová Dobromíra,5664451,17,Slovensko,Vrouw,1940,Springers,16,1,15,165,57,2025-02-27 07:12:55,20,2,1,3,2,9,1,8,7,,0,5664451
Onbekend,Felloni Martino,5650858,16,Italia,Man,1580,Werpers,13,1,15,173,75,2025-02-27 07:15:40,20,9,0,1,2,2,4,7,4,,10000,5650858
Onbekend,Poggi Cristoforo,5551099,17,Italia,Man,2130,Meerkampers,20,1,15,186,94,2025-02-27 08:18:17,14,5,1,6,3,10,10,6,8,,9999,5551099
Onbekend,Salierno Diana,5565210,17,Italia,Vrouw,2580,Langeafstandslopers,20,1,15,183,74,2025-02-27 08:19:29,12,4,12,9,3,2,3,7,7,,9999,5565210
Onbekend,Payer Karl,5566387,17,Österreich,Man,2510,Middenafstandslopers,20,2,16,179,86,2025-02-27 08:21:48,19,8,11,4,2,2,3,9,5,,1000,5566387
1.500 meter,Vogel Marta,5141442,29,Switzerland,Vrouw,5790,Middenafstandslopers,20,9,15,177,66,2025-02-27 08:33:24,8,1,8,11,3,1,1,10,13,,0,5141442
Onbekend,Isach Davinia,5584977,16,España,Vrouw,1670,Werpers,20,1,15,167,69,2025-02-27 08:46:14,11,11,2,4,3,0,9,5,5,,32000,5584977
50 km snelwandelen,Simao Penélope,5181126,30,Brasil,Vrouw,22300,Snelwandelaars,19,8,15,175,63,2025-02-27 08:47:09,20,2,19,2,7,0,2,8,9,,0,5181126
100 meter,Frye Savannah,5189300,30,United States,Vrouw,11330,Sprinters,20,9,16,166,55,2025-02-27 08:47:26,20,15,5,12,3,0,2,10,8,,0,5189300
Speerwerpen,Pasabán Álvaro,5326274,24,España,Man,7780,Werpers,20,6,18,195,100,2025-02-27 08:54:28,17,11,1,4,4,2,11,11,13,,10000,5326274
Onbekend,Hewitt Makayla,5536302,17,United States,Vrouw,1840,Sprinters,20,3,18,181,82,2025-02-27 08:55:57,12,2,3,12,3,3,2,7,5,,1000,5536302
800 meter,Gay Jada,5413984,21,United States,Vrouw,3980,Middenafstandslopers,20,6,15,167,75,2025-02-27 08:56:39,8,3,10,13,4,3,0,8,9,,0,5413984
Onbekend,Botes Abri,5619499,16,South Africa,Vrouw,1400,Langeafstandslopers,13,2,14,169,70,2025-02-27 09:01:38,6,0,11,1,3,2,0,5,6,,1000,5619499
Onbekend,Cuesta Jon,5664558,16,España,Man,1460,Zonder specialiteit,16,1,15,166,66,2025-02-27 09:01:50,20,3,8,8,7,1,1,0,0,,17000,5664558
Onbekend,Mattei Annalisa,5627715,16,Italia,Vrouw,1230,Sprinters,20,1,16,160,58,2025-02-27 09:01:51,16,4,2,10,4,3,3,5,6,,1000,5627715
Vijfkamp Mannen,McSwegan Greg,5264533,30,Great Britain,Man,6900,Meerkampers,20,10,18,166,65,2025-02-27 09:29:11,7,4,2,7,11,2,0,12,12,,0,5264533
Hoogspringen,Elsinga Susan,5421913,21,Nederland,Vrouw,4070,Springers,20,5,17,177,77,2025-02-27 09:35:56,16,9,3,1,9,13,3,8,8,,1000,5421913
Polsstokhoogspringen,Perissin Stefano,5229046,26,Italia,Man,12510,Springers,20,7,17,178,85,2025-02-27 09:36:25,18,0,2,3,15,15,1,10,9,,10000,5229046
Onbekend,Gunkel Chira,5639633,16,Deutschland,Vrouw,2010,Meerkampers,20,1,15,179,73,2025-02-27 09:43:50,20,10,2,4,2,8,1,5,7,,13000,5639633
Onbekend,Jaime Macário,5663714,17,Portugal,Man,1040,Zonder specialiteit,11,1,15,180,74,2025-02-27 09:44:10,13,3,2,9,2,9,3,0,0,,0,5663714
Kogelslingeren,Pule Samantha,5502003,21,South Africa,Vrouw,3850,Werpers,20,4,16,179,72,2025-02-27 09:46:20,14,10,3,1,1,0,12,8,10,,3000,5502003
Onbekend,Gersdorf Matze,5664641,16,Deutschland,Man,850,Zonder specialiteit,16,1,15,158,60,2025-02-27 10:13:53,10,3,3,3,1,1,10,0,0,,0,5664641
Onbekend,Puzzer Adalgisa,5546415,17,Italia,Vrouw,1840,Middenafstandslopers,20,2,15,174,81,2025-02-27 10:28:56,16,0,6,11,1,2,2,7,7,,1000,5546415
Onbekend,Traczyk Aleksander,5659969,17,Polska,Man,1600,Zonder specialiteit,13,1,14,168,73,2025-02-27 10:32:40,10,10,10,3,3,3,3,0,0,,0,5659969
Onbekend,Rosenbach Alberta,5630124,16,Deutschland,Vrouw,1260,Sprinters,12,1,18,155,55,2025-02-27 10:38:11,10,3,3,10,5,1,1,6,8,,0,5630124
Onbekend,Schwartzberg Sabine,5664670,15,Deutschland,Vrouw,520,Werpers,16,1,15,151,45,2025-02-27 10:38:34,10,8,3,2,0,1,6,7,4,,0,5664670
Onbekend,Messert Tanja,5647497,17,Deutschland,Vrouw,2240,Snelwandelaars,18,1,18,162,63,2025-02-27 10:39:20,20,3,11,3,1,0,2,6,5,,0,5647497
Onbekend,Monzón Antía,5589225,16,España,Vrouw,2160,Springers,16,1,13,166,67,2025-02-27 10:54:57,20,1,1,3,9,10,1,4,7,,9999,5589225
Onbekend,Vigo Raimundo,5659068,16,España,Man,2000,Werpers,15,1,14,176,79,2025-02-27 10:55:12,18,10,1,3,3,2,9,7,6,,32000,5659068
Onbekend,Sierra Dácil,5562463,17,España,Vrouw,2160,Snelwandelaars,20,1,15,170,72,2025-02-27 10:56:02,8,0,11,1,8,1,2,8,8,,0,5562463
Onbekend,Rutjens Jonas,5483198,19,België,Man,1290,Sprinters,20,2,15,184,97,2025-02-27 11:03:24,20,6,3,6,4,3,1,7,8,,0,5483198
Onbekend,Basset Yannis,5451819,20,France,Man,5100,Middenafstandslopers,20,3,17,185,93,2025-02-27 11:13:54,15,2,13,3,3,3,4,11,10,,0,5451819
20 km snelwandelen,Mazet Octave,5404085,23,France,Man,4870,Snelwandelaars,20,3,18,194,92,2025-02-27 11:16:15,16,7,12,1,6,1,3,11,10,,0,5404085
Marathon,Salmon Léna,5321185,25,France,Vrouw,6770,Langeafstandslopers,20,4,19,180,78,2025-02-27 11:16:41,6,1,13,8,3,2,3,11,11,,0,5321185
Onbekend,Rybacka Blanka,5643959,16,Polska,Vrouw,1160,Springers,14,1,15,157,54,2025-02-27 11:17:01,8,3,0,0,10,6,3,6,7,,0,5643959
400 meter,Monnier Mélissa,5248340,26,France,Vrouw,16030,Sprinters,20,6,17,162,64,2025-02-27 11:20:09,19,12,2,17,0,3,3,9,8,,1000,5248340
5.000 meter,Hardie Mhairi,5339243,25,Great Britain,Vrouw,12890,Langeafstandslopers,20,5,16,183,71,2025-02-27 11:20:15,20,2,17,4,3,1,2,7,10,,0,5339243
20 km snelwandelen,Popović Peter,4955925,36,Slovenija,Man,12450,Snelwandelaars,19,14,11,173,70,2025-02-27 11:20:20,18,0,16,0,7,0,0,8,10,,0,4955925
50 km snelwandelen,Mayo Sarah,5372716,22,United States,Vrouw,12670,Snelwandelaars,20,7,16,177,78,2025-02-27 11:20:27,18,2,16,2,3,1,1,10,11,,1000,5372716
Polsstokhoogspringen,Shams Mukarramma,5169979,30,Miṣr,Vrouw,11220,Springers,19,11,11,172,66,2025-02-27 11:20:31,16,2,1,3,14,14,0,9,8,,0,5169979
Onbekend,Bieńkowski Ernest,5664720,16,Polska,Man,640,Langeafstandslopers,12,1,15,180,81,2025-02-27 11:20:32,18,2,5,1,1,2,1,5,5,,0,5664720
Speerwerpen,Albritton Lauren,5209992,27,United States,Vrouw,18170,Werpers,20,6,16,181,76,2025-02-27 11:20:36,17,7,1,2,8,1,18,11,12,,0,5209992
Kogelslingeren,Casquero Amparo,5090185,32,España,Vrouw,14090,Werpers,20,9,16,163,49,2025-02-27 11:20:40,20,12,0,1,0,0,16,11,8,,0,5090185
Speerwerpen,Fleur Gladys,5315045,24,France,Vrouw,8050,Werpers,20,4,17,173,70,2025-02-27 11:21:11,7,14,4,3,2,2,7,11,12,,1000,5315045
Kogelstoten,Burow Rosalinde,4787402,38,Deutschland,Vrouw,1960,Werpers,14,10,14,169,62,2025-02-27 11:22:40,16,4,0,0,0,0,10,8,8,,0,4787402
800 meter,Focke Ferdinand,4829405,37,Deutschland,Man,4740,Middenafstandslopers,18,13,18,184,63,2025-02-27 11:28:33,14,0,10,8,0,0,0,11,8,,0,4829405
400 meter horden,Yaprak Freya,4936470,35,Deutschland,Vrouw,10470,Sprinters,19,10,19,160,52,2025-02-27 11:28:45,19,6,0,14,0,0,0,12,12,,0,4936470
Onbekend,Całus Dawid,5567261,16,Polska,Man,1570,Werpers,20,2,19,189,93,2025-02-27 11:30:45,12,11,1,3,3,2,7,7,6,,9999,5567261
Onbekend,Supratno Sugiarto,5594684,17,Indonesia,Man,1840,Meerkampers,20,1,15,180,91,2025-02-27 11:36:10,15,10,0,2,10,2,1,7,6,,0,5594684
50 km snelwandelen,Lubis Rachmania,5161986,30,Indonesia,Vrouw,30850,Snelwandelaars,20,12,16,174,52,2025-02-27 11:38:09,15,1,18,2,1,0,5,9,16,,0,5161986
Onbekend,Heiskanen Aino,5630287,17,Suomi,Vrouw,3170,Snelwandelaars,13,1,15,165,65,2025-02-27 11:43:05,15,2,12,1,10,3,5,5,6,,1000,5630287
100 meter,De Roeck Téo,4857067,37,België,Man,15730,Sprinters,20,16,15,182,70,2025-02-27 11:43:54,20,12,0,11,0,0,0,9,14,,0,4857067
400 meter,Hellebaut Tuur,5475475,20,België,Man,5970,Sprinters,20,4,16,174,85,2025-02-27 11:45:05,20,5,3,13,3,2,2,9,11,,9999,5475475
10.000 meter,Rosa Arminda,4901522,36,Portugal,Vrouw,19010,Langeafstandslopers,18,13,16,180,65,2025-02-27 11:54:37,18,0,18,10,0,0,0,9,10,,0,4901522
Onbekend,De Marco Matilde,5546429,17,Italia,Vrouw,1510,Springers,20,1,15,181,88,2025-02-27 12:07:20,12,2,0,3,8,11,1,6,7,,9999,5546429
Onbekend,Piazzini Maurizio,5664773,17,Italia,Man,1410,Springers,17,1,15,184,84,2025-02-27 12:16:39,15,0,4,3,7,10,1,7,6,,0,5664773
Vijfkamp Mannen,Joya Eneko,5407135,21,España,Man,2840,Meerkampers,20,3,18,193,100,2025-02-27 12:20:14,17,5,1,9,10,3,3,10,9,,0,5407135
Onbekend,Piwowarska Lidia,5664791,15,Polska,Vrouw,1250,Werpers,14,1,15,165,60,2025-02-27 12:41:12,6,9,1,3,10,1,3,6,4,,0,5664791
Onbekend,Tavernari Cristiana,5575918,17,Italia,Vrouw,2600,Snelwandelaars,20,1,15,183,80,2025-02-27 12:50:42,10,1,12,3,6,1,1,6,8,,0,5575918
Kogelstoten,Percassi Eleonora,5424550,21,Italia,Vrouw,3650,Werpers,20,4,15,181,83,2025-02-27 12:52:15,18,10,2,1,2,3,11,9,8,,2000,5424550
Verspringen,Božinovska Anita,5509244,21,FYR Makedonija,Vrouw,3480,Springers,20,4,19,174,67,2025-02-27 12:53:39,7,7,0,2,3,10,5,10,10,,0,5509244
3.000 meter steeplechase,Brdarovska Julijana,5436052,21,FYR Makedonija,Vrouw,10530,Middenafstandslopers,20,4,18,173,76,2025-02-27 12:53:59,14,6,11,16,0,3,1,8,8,,5000,5436052
Onbekend,Spirkoska Tarpena,5501796,21,FYR Makedonija,Vrouw,6150,Sprinters,20,4,19,162,62,2025-02-27 12:54:15,19,3,4,14,4,6,3,9,4,,0,5501796
400 meter,Tasevski Zivko,5524708,21,FYR Makedonija,Man,5260,Sprinters,20,4,15,173,74,2025-02-27 12:54:23,11,10,2,13,3,3,3,7,10,,1000,5524708
110 meter horden,Najdoski Sasko,5411984,21,FYR Makedonija,Man,13850,Sprinters,20,5,17,182,94,2025-02-27 12:54:32,18,8,3,17,4,3,0,10,6,,8000,5411984
Onbekend,de Castro Emilio,5544690,17,España,Man,2410,Langeafstandslopers,20,3,18,178,92,2025-02-27 12:58:01,17,2,11,8,3,1,3,8,8,,1000,5544690
Onbekend,Naccarato Gemma,5582085,17,Italia,Vrouw,4680,Middenafstandslopers,20,1,15,165,69,2025-02-27 13:07:39,19,1,3,14,2,1,1,8,8,,2000,5582085
Onbekend,Sacco Samuele,5571120,17,Italia,Man,2330,Werpers,20,1,15,196,105,2025-02-27 13:07:59,15,7,1,3,2,2,11,9,6,,3000,5571120
Onbekend,D'Orsogna Giada,5617718,17,Italia,Vrouw,1160,Snelwandelaars,20,1,15,178,76,2025-02-27 13:08:11,19,1,7,7,5,2,7,6,5,,0,5617718
Onbekend,Tampieri Celeste,5638575,17,Italia,Man,2430,Sprinters,14,1,15,194,97,2025-02-27 13:08:46,16,2,2,12,1,2,1,6,9,,1000,5638575
Onbekend,Pezzoli Maura,5663384,16,Italia,Vrouw,1040,Springers,17,1,14,174,70,2025-02-27 13:13:26,15,1,0,2,1,9,3,8,5,,1000,5663384
800 meter,D'Ascanio Noemi,5007428,32,Italia,Vrouw,17780,Middenafstandslopers,18,10,16,172,66,2025-02-27 13:24:12,18,0,13,17,6,2,0,8,9,,0,5007428
400 meter horden,Ragusa Enrica,4808538,37,Italia,Vrouw,11960,Sprinters,16,15,15,173,68,2025-02-27 13:24:19,16,0,0,14,13,0,0,9,7,,0,4808538
Onbekend,Melgar Diana,5616919,22,México,Vrouw,2530,Meerkampers,10,1,13,161,66,2025-02-27 13:38:58,8,9,7,3,1,0,10,10,9,,0,5616919
Onbekend,Salvolini Giuseppina,5646944,17,Italia,Vrouw,1340,Sprinters,11,1,15,164,59,2025-02-27 13:41:11,7,6,2,10,3,2,6,8,7,,0,5646944
Onbekend,Zuffa Lina,5642866,17,Italia,Vrouw,1830,Sprinters,19,1,15,169,68,2025-02-27 13:41:17,20,3,3,9,1,1,3,8,8,,1000,5642866
Onbekend,Kozłowska Barbara,5664832,14,Polska,Vrouw,1010,Snelwandelaars,15,1,15,164,57,2025-02-27 13:44:31,15,1,10,1,2,2,3,6,7,,2000,5664832
Onbekend,Iversen Are,5599713,18,Norge,Man,1270,Sprinters,20,2,17,190,91,2025-02-27 14:04:53,14,8,3,10,2,2,1,7,6,,0,5599713
Onbekend,Sande Arve,5566566,18,Norge,Man,1620,Middenafstandslopers,20,2,17,185,88,2025-02-27 14:04:58,10,1,9,9,2,2,4,9,8,,1000,5566566
Onbekend,Hansen Johannes,5550138,17,Norge,Man,1870,Snelwandelaars,20,2,18,189,99,2025-02-27 14:05:03,7,3,12,5,3,6,2,6,5,,0,5550138
Onbekend,Holen Tina,5583485,17,Norge,Vrouw,2120,Snelwandelaars,20,2,18,163,68,2025-02-27 14:05:10,16,1,11,2,2,3,2,6,7,,0,5583485
Onbekend,Helgesen Sverre,5627865,18,Norge,Man,1420,Springers,20,1,17,172,80,2025-02-27 14:05:14,11,6,3,3,8,10,1,6,7,,0,5627865
Onbekend,Kleven Arnt,5572374,17,Norge,Man,900,Werpers,19,1,16,182,91,2025-02-27 14:05:20,10,5,1,1,2,2,10,7,4,,0,5572374
Onbekend,Eriksen Karin,5541993,17,Norge,Vrouw,1020,Langeafstandslopers,20,2,15,191,98,2025-02-27 14:05:25,13,2,10,8,0,3,1,5,4,,0,5541993
Kogelstoten,Rangelova Ilyana,4825381,37,Bulgaria,Vrouw,9230,Werpers,17,16,16,183,79,2025-02-27 14:15:04,17,13,0,0,0,0,9,7,7,,0,4825381
Tienkamp,Olivera Garcia,5451049,22,Uruguay,Man,4160,Meerkampers,20,5,16,184,89,2025-02-27 14:15:22,20,2,2,12,10,2,3,9,7,,0,5451049
Vijfkamp Mannen,Pauker Ieremia,5094551,32,România,Man,11010,Meerkampers,20,15,14,174,60,2025-02-27 14:40:53,17,6,3,8,2,1,2,14,10,,0,5094551
Onbekend,Velasques Lígia,5456749,23,Portugal,Vrouw,2200,Werpers,20,2,11,158,50,2025-02-27 14:51:01,14,5,3,3,8,2,3,10,10,,0,5456749
